1,1995,8.3,81,John Lasseter,Tom Hanks|Tim Allen|Don Rickles,191796233,USA,30000000
1223,1989,7.8,23,Nick Park,Peter Salli|0|0,0,UK,0
1224,1989,7.7,137,Kenneth Branagh,Kenneth Branagh|Derek Jacobi|Simon Shepherd,10161099,UK,9000000
1225,1984,8.3,160,Milos Forman,F. Murray Abraham|Tom Hulce|Elizabeth Berridge,51600000,USA,18000000
1226,1952,7.9,129,John Ford,John Wayne|Maureen O'Hara|Barry Fitzgerald,0,USA,0
1227,1984,8.4,229,Sergio Leone,Robert De Niro|James Woods|Elizabeth McGovern,5300000,Italy,30000000
1228,1980,8.2,129,Martin Scorsese,Robert De Niro|Cathy Moriarty|Joe Pesci,45250112005,USA,18000000
1230,1977,8.1,93,Woody Allen,Woody Allen|Diane Keaton|Tony Roberts,39200000,USA,4000000
1231,1983,7.9,193,Philip Kaufman,Sam Shepard|Scott Glenn|Ed Harris,21500000,USA,27000000
1232,1979,8.1,163,Andrei Tarkovsky (as Andrey Tarkovskiy),Alisa Freyndlikh|Aleksandr Kaydanovskiy|Anatoliy Solonitsyn,197875232017,Soviet,6000000
1233,1981,8.4,149,Wolfgang Petersen,Jürgen Prochnow|Herbert Grönemeyer|Klaus Wennemann,11433134251997,West,14000000
1234,1973,8.3,129,George Roy Hill,Paul Newman|Robert Redford|Robert Shaw,159600000,USA,5500000
1235,1971,8.0,91,Hal Ashby,Ruth Gordon|Bud Cort|Vivian Pickles,0,USA,1200000
1236,1990,7.5,107,Hal Hartley,Adrienne Shelly|Martin Donovan|Rebecca Nelson,356122,UK,700000
1237,1957,8.2,96,Ingmar Bergman,Max von Sydow|Gunnar Björnstrand|Bengt Ekerot,0,Sweden,150000
1238,1983,7.5,111,Bill Forsyth,Burt Lancaster|Peter Riegert|Fulton Mackay,0,UK,0
1240,1984,8.0,107,James Cameron,Arnold Schwarzenegger|Linda Hamilton|Michael Biehn,38400000,UK,6400000
1241,1992,7.6,104,Peter Jackson,Timothy Balme|Diana Peñalver|Elizabeth Moody,242623,New,3000000
1242,1989,7.9,122,Edward Zwick,Matthew Broderick|Denzel Washington|Cary Elwes,26830000,USA,18000000
1243,1990,7.6,117,Tom Stoppard,Gary Oldman|Tim Roth|Richard Dreyfuss,739104,UK,0
1244,1979,8.0,96,Woody Allen,Woody Allen|Diane Keaton|Mariel Hemingway,45700000,USA,0
1245,1990,7.8,115,"Joel Coen,",Gabriel Byrne|Albert Finney|John Turturro,5080409,USA,14000000
1246,1989,8.0,128,Peter Weir,Robin Williams|Robert Sean Leonard|Ethan Hawke,95860116,USA,16400000
1247,1967,8.0,106,Mike Nichols,Dustin Hoffman|Anne Bancroft|Katharine Ross,104397102,USA,3000000
1248,1958,8.1,95,Orson Welles,Charlton Heston|Orson Welles|Janet Leigh,223765911999,USA,829000
1249,1990,7.4,117,Luc Besson,Anne Parillaud|Marc Duret|Patrick Fontana,5017971,France,50000000
1250,1957,8.2,161,David Lean,William Holden|Alec Guinness|Jack Hawkins,27200000,UK,3000000
1251,1963,8.1,138,Federico Fellini,Marcello Mastroianni|Anouk Aimée|Claudia Cardinale,50690231999,Italy,0
1252,1974,8.2,130,Roman Polanski,Jack Nicholson|Faye Dunaway|John Huston,0,USA,6000000
1253,1951,7.8,92,Robert Wise,Michael Rennie|Patricia Neal|Hugh Marlowe,0,USA,1200000
1254,1948,8.3,126,John Huston,Humphrey Bogart|Walter Huston|Tim Holt,0,USA,3000000
1255,1987,6.7,91,Peter Jackson,Terry Potter|Pete O'Herne|Craig Smith,0,New,200000
1256,1933,8.0,68,Leo McCarey,Groucho Marx|Harpo Marx|Chico Marx,0,USA,0
1257,1985,7.2,97,Savage Steve Holland,John Cusack|David Ogden Stiers|Kim Darby,0,USA,0
1258,1980,8.4,144,Stanley Kubrick,Jack Nicholson|Shelley Duvall|Danny Lloyd,0,UK,19000000
1259,1986,8.1,89,Rob Reiner,Wil Wheaton|River Phoenix|Corey Feldman,52287414,USA,8000000
1260,1931,8.4,117,Fritz Lang,Peter Lorre|Ellen Widmann|Inge Landgut,28877312013,Germany,0
1261,1987,7.8,84,Sam Raimi,Bruce Campbell|Sarah Berry|Dan Hicks,5923044,USA,3600000
1262,1963,8.2,172,John Sturges,Steve McQueen|James Garner|Richard Attenborough,0,USA,4000000
1263,1978,8.2,183,Michael Cimino,Robert De Niro|Christopher Walken|John Cazale,0,USA,15000000
1264,1981,7.3,117,Jean-Jacques Beineix,Wilhelmenia Fernandez|Frédéric Andréi|Richard Bohringer,108372282008,France,0
1265,1993,8.0,101,Harold Ramis,Bill Murray|Andie MacDowell|Chris Elliott,70906973,USA,14600000
1266,1992,8.2,131,Clint Eastwood,Clint Eastwood|Gene Hackman|Morgan Freeman,101157447,USA,14400000
1267,1962,8.0,126,John Frankenheimer,Frank Sinatra|Laurence Harvey|Janet Leigh,0,USA,2200000
1268,1990,7.2,102,Allan Moyle,Christian Slater|Samantha Mathis|Annie Ross,11541758,Canada,0
1269,1944,8.0,118,Frank Capra,Cary Grant|Priscilla Lane|Raymond Massey,0,USA,1120175
1270,1985,8.5,116,Robert Zemeckis,Michael J. Fox|Christopher Lloyd|Lea Thompson,210609762,USA,19000000
1271,1991,7.7,130,Jon Avnet,Kathy Bates|Jessica Tandy|Mary Stuart Masterson,80100000,USA,11000000
1272,1970,8.0,172,Franklin J. Schaffner,George C. Scott|Karl Malden|Stephen Young,0,USA,12000000
1273,1986,7.8,107,Jim Jarmusch,Tom Waits|John Lurie|Roberto Benigni,1436000,USA,1100000
1274,1988,8.1,124,Katsuhiro Ôtomo (as Katsuhiro Otomo),Nozomu Sasaki|Mami Koyama|Mitsuo Iwata,439162,Japan,1100000000
1275,1986,7.2,116,Russell Mulcahy,Christopher Lambert|Sean Connery|Clancy Brown,5900000,UK,16000000
1276,1967,8.2,126,Stuart Rosenberg,Paul Newman|George Kennedy|Strother Martin,0,USA,3200000
1277,1990,7.6,137,Jean-Paul Rappeneau,Gérard Depardieu|Anne Brochet|Vincent Perez,15140007,France,0
1278,1974,8.0,106,Mel Brooks,Gene Wilder|Madeline Kahn|Marty Feldman,86300000,USA,2800000
1279,1991,7.8,129,Jim Jarmusch,Winona Ryder|Gena Rowlands|Lisanne Falk,2015810,France,3500000
1280,1991,8.2,125,Yimou Zhang,Li Gong|Jingwu Ma|Saifei He,2603061,China,0
1281,1940,8.5,125,Charles Chaplin,Charles Chaplin|Paulette Goddard|Jack Oakie,0,USA,2000000
1282,1940,7.8,124,"James Algar (uncredited),",Leopold Stokowski|Deems Taylor|Corey Burton,76400000,USA,2280000
1283,1952,8.0,85,Fred Zinnemann,Gary Cooper|Grace Kelly|Thomas Mitchell,0,USA,730000
1284,1946,8.0,114,Howard Hawks,Humphrey Bogart|Lauren Bacall|John Ridgely,0,USA,250000
1285,1988,7.3,103,Michael Lehmann,Winona Ryder|Christian Slater|Shannen Doherty,1108462,USA,3000000
1286,1980,7.3,103,Jeannot Szwarc,Christopher Reeve|Jane Seymour|Christopher Plummer,0,USA,5100000
1287,1959,8.1,212,William Wyler,Charlton Heston|Jack Hawkins|Stephen Boyd,70000000,USA,15900000
1288,1984,8.0,82,Rob Reiner,Rob Reiner|Michael McKean|Christopher Guest,467183162000,USA,2500000
1289,1982,8.3,86,Godfrey Reggio,Lou Dobbs|Ted Koppe|0,0,USA,0
1290,1987,7.1,95,Howard Deutch,Eric Stoltz|Mary Stuart Masterson|Lea Thompson,18553948,USA,0
1291,1989,8.3,127,Steven Spielberg,Harrison Ford|Sean Connery|Alison Doody,197171806,USA,48000000
1292,1979,8.0,130,Hal Ashby,Peter Sellers|Shirley MacLaine|Melvyn Douglas,0,USA,0
1293,1982,8.1,191,Richard Attenborough,Ben Kingsley|John Gielgud|Candice Bergen,0,UK,22000000
1295,1988,7.4,171,Philip Kaufman,Daniel Day-Lewis|Juliette Binoche|Lena Olin,10006806,USA,17000000
1296,1985,7.4,117,James Ivory,Maggie Smith|Helena Bonham Carter|Denholm Elliott,20966644,UK,3000000
1297,1985,7.0,108,Martha Coolidge,Val Kilmer|Gabriel Jarret|Michelle Meyrink,13000000,USA,0
1298,1982,8.0,95,Alan Parker,Bob Geldof|Christine Hargreaves|James Laurenson,0,UK,12000000
1299,1984,7.9,141,Roland Joffé,Sam Waterston|Haing S. Ngor|John Malkovich,34600000,UK,14400000
1300,1985,7.7,101,Lasse Hallström,Anton Glanzelius|Tomas von Brömssen|Anki Lidén,8345266,Sweden,0
1301,1956,7.7,98,Fred M. Wilcox (as Fred McLeod Wilcox),Walter Pidgeon|Anne Francis|Leslie Nielsen,3000000,USA,1900000
1302,1989,7.5,107,Phil Alden Robinson,Kevin Costner|James Earl Jones|Ray Liotta,64431625,USA,0
1303,1975,7.9,129,John Huston,Sean Connery|Michael Caine|Christopher Plummer,0,UK,8000000
1304,1969,8.1,110,George Roy Hill,Paul Newman|Robert Redford|Katharine Ross,102308900,USA,6000000
1305,1984,8.1,145,Wim Wenders,Harry Dean Stanton|Nastassja Kinski|Dean Stockwell,0,UK,1162000
1306,1991,6.8,280,Wim Wenders,William Hurt|Solveig Dommartin|Pietro Falcone,752856,Germany,23000000
1307,1989,7.6,96,Rob Reiner,Billy Crystal|Meg Ryan|Carrie Fisher,92823600,USA,16000000
1310,1996,7.7,84,Doug Pray,7 Year Bitch|Valerie M. Agnew|Carrie Akre,268520201996,USA,0
1311,1996,2.4,97,John Murlowski,Hulk Hogan|Don Stark|Robin Curtis,198717151996,USA,0
1312,1996,5.5,119,Susan Streitfeld,Tilda Swinton|Amy Madigan|Karen Sillas,883973251997,Germany,0
1317,1996,6.6,135,Herb Gardner,Walter Matthau|Ossie Davis|Amy Irving,222525311997,USA,0
1320,1992,6.4,114,David Fincher,Sigourney Weaver|Charles S. Dutton|Charles Dance,55473600,USA,50000000
1321,1981,7.6,97,John Landis,David Naughton|Jenny Agutter|Joe Belcher,0,UK,10000000
1322,1992,4.4,95,Tony Randel,Stephen Macht|Shawn Weatherly|Megan Ward,0,USA,0
1323,1983,4.0,105,Richard Fleischer,Tony Roberts|Tess Harper|Robert Joy,0,USA,6000000
1324,1996,4.1,93,Steve White,Robin Thomas|Starr Andreeff|Allen Cutler,0,USA,0
1325,1993,3.7,91,John Murlowski,Ross Partridge|Julia Nickson|Lala Sloatman,0,USA,1500000
1326,1982,5.4,104,Damiano Damiani,James Olson|Burt Young|Rutanya Alda,0,Mexico,5000000
1327,1979,6.2,117,Stuart Rosenberg,James Brolin|Margot Kidder|Rod Steiger,86432520,USA,4700000
1328,1990,2.9,0,Tom Berry,Kim Coates|Dawna Wightman|Helen Hughes,0,Canada,0
1329,1974,6.2,103,Paul Morrissey,Joe Dallesandro|Udo Kier|Vittorio De Sica,0,Italy,0
1330,1986,6.2,89,Fred Walton,Deborah Foreman|Griffin O'Neal|Clayton Rohner,12947763,USA,5000000
1331,1977,5.9,113,Robert Wise,Anthony Hopkins|Marsha Mason|John Beck,0,USA,0
1332,1987,6.1,114,John Schlesinger,Martin Sheen|Helen Shaver|Harley Cross,18753438,USA,0
1333,1963,7.7,119,Alfred Hitchcock,Rod Taylor|Tippi Hedren|Suzanne Pleshette,0,USA,2500000
1334,1958,6.4,86,"Irvin S. Yeaworth Jr.,",Steve McQueen|Aneta Corsaut|Earl Rowe,0,USA,240000
1335,1980,4.3,92,Jeffrey Bloom,David Huffman|Marianna Hill|Burt Young,0,USA,2000000
1336,1991,5.5,88,Eric Red,Jeff Fahey|Lindsay Duncan|Kim Delaney,9188150,USA,10000000
1337,1945,7.4,77,Robert Wise,Boris Karloff|Bela Lugosi|Henry Daniell,0,USA,0
1339,1992,7.5,128,Francis Ford Coppola,Gary Oldman|Winona Ryder|Anthony Hopkins,82522790,USA,40000000
1340,1935,7.9,75,James Whale,Boris Karloff|Elsa Lanchester|Colin Clive,0,USA,397024
1341,1976,6.5,116,Dan Curtis,Karen Black|Oliver Reed|Burgess Meredith,0,USA,0
1342,1992,6.6,99,Bernard Rose,Virginia Madsen|Xander Berkeley|Tony Todd,25792310,USA,6000000
1343,1991,7.3,128,Martin Scorsese,Robert De Niro|Nick Nolte|Jessica Lange,79100000,USA,35000000
1344,1962,7.8,105,J. Lee Thompson,Gregory Peck|Robert Mitchum|Polly Bergen,0,USA,0
1345,1976,7.4,98,Brian De Palma,Sissy Spacek|Piper Laurie|Amy Irving,0,USA,1800000
1346,1982,6.1,118,Paul Schrader,Nastassja Kinski|Malcolm McDowell|John Heard,0,USA,18000000
1347,1984,7.5,91,Wes Craven,Heather Langenkamp|Johnny Depp|Robert Englund,26505000311985,USA,1800000
1348,1922,8.0,94,F.W. Murnau,Max Schreck|Greta Schröder|Ruth Landshoff,0,Germany,0
1349,1988,5.4,97,"Augusto Caminito,",Klaus Kinski|Christopher Plummer|Donald Pleasence,0,Italy,0
1350,1976,7.6,111,Richard Donner,Gregory Peck|Lee Remick|Harvey Stephens,0,UK,2800000
1351,1996,6.1,101,Bob Rafelson,Jack Nicholson|Michael Caine|Stephen Dorff,1075288281997,USA,22000000
1352,1996,6.1,97,Kevin Spacey,Matt Dillon|Faye Dunaway|Gary Sinise,32630871997,USA,5000000
1353,1996,6.5,126,Barbra Streisand,Barbra Streisand|Jeff Bridges|Lauren Bacall,41252428281997,USA,42000000
1354,1996,7.9,159,Lars von Trier (as Lars Von Trier),Emily Watson|Stellan Skarsgård|Katrin Cartlidge,404069121997,Denmark,0
1355,1997,6.2,101,Ole Bornedal,Ewan McGregor|Nick Nolte|Anais Evans,1200000,USA,0
1356,1996,7.6,111,Jonathan Frakes,Patrick Stewart|Jonathan Frakes|Brent Spiner,92001027281997,USA,45000000
1357,1996,7.7,105,Scott Hicks,Geoffrey Rush|Armin Mueller-Stahl|Justin Braine,35811509301997,Australia,5500000
1358,1996,8.0,135,Billy Bob Thornton,Billy Bob Thornton|Dwight Yoakam|J.T. Walsh,24475416251997,USA,890000
1359,1996,5.5,89,Brian Levant,Arnold Schwarzenegger|Sinbad|Phil Hartman,60573641211997,USA,60000000
1361,1996,8.4,150,"Joe Berlinger,",Tony Brooks|Diana Davis|Terry Wood,0,USA,0
1363,1996,5.5,123,Penny Marshall,Denzel Washington|Whitney Houston|Courtney B. Vance,48093211181997,USA,40000000
1365,1996,7.5,102,Patrice Leconte,Charles Berling|Jean Rochefort|Fanny Ardant,2503829211997,France,50000000
1366,1996,6.8,124,Nicholas Hytner,Daniel Day-Lewis|Winona Ryder|Paul Scofield,7340103211997,USA,25000000
1367,1996,5.6,103,Stephen Herek,Glenn Close|Jeff Daniels|Joely Richardson,13618216121997,USA,75000000
1369,1994,7.0,110,Claire Denis,Yekaterina Golubeva|Richard Courcet|Vincent Dupont,111015,France,0
1370,1990,7.1,124,Renny Harlin,Bruce Willis|William Atherton|Bonnie Bedelia,117541000,USA,70000000
1371,1979,6.4,132,Robert Wise,William Shatner|Leonard Nimoy|DeForest Kelley,82300000,USA,35000000
1372,1991,7.2,113,Nicholas Meyer,William Shatner|Leonard Nimoy|DeForest Kelley,74888996,USA,30000000
1373,1989,5.4,107,William Shatner,William Shatner|Leonard Nimoy|DeForest Kelley,55210049,USA,27800000
1374,1982,7.7,113,Nicholas Meyer,William Shatner|Leonard Nimoy|DeForest Kelley,78900000,USA,11200000
1375,1984,6.6,105,Leonard Nimoy,William Shatner|Leonard Nimoy|DeForest Kelley,76400000,USA,17000000
1376,1986,7.3,119,Leonard Nimoy,William Shatner|Leonard Nimoy|DeForest Kelley,109713132,USA,25000000
1377,1992,7.0,126,Tim Burton,Michael Keaton|Danny DeVito|Michelle Pfeiffer,162831698,USA,80000000
1378,1988,6.8,107,Christopher Cain,Emilio Estevez|Kiefer Sutherland|Lou Diamond Phillips,44726644,USA,13000000
1379,1990,6.4,104,Geoff Murphy,Emilio Estevez|Kiefer Sutherland|Lou Diamond Phillips,44143410,USA,20000000
1380,1978,7.2,110,Randal Kleiser,John Travolta|Olivia Newton-John|Stockard Channing,181360000,USA,6000000
1381,1982,4.2,115,Patricia Birch,Michelle Pfeiffer|Maxwell Caulfield|Lorna Luft,11608405,USA,13200000
1382,1990,5.9,93,Dwight H. Little,Steven Seagal|Joanna Pacula|Basil Wallace,46044400,USA,12000000
1384,1996,6.0,97,Daniel J. Sullivan,Tony Goldwyn|Benjamin Ungar|Timothy Hutton,56221141997,USA,0
1385,1992,6.5,103,Andrew Davis,Steven Seagal|Gary Busey|Tommy Lee Jones,83363139,France,35000000
1387,1975,8.0,124,Steven Spielberg,Roy Scheider|Robert Shaw|Richard Dreyfuss,260000000,USA,8000000
1388,1978,5.7,116,Jeannot Szwarc,Roy Scheider|Lorraine Gary|Murray Hamilton,102922376,USA,20000000
1389,1983,3.6,99,Joe Alves,Dennis Quaid|Bess Armstrong|Simon MacCorkindale,42200000,USA,20500000
1390,1996,6.5,101,Peter Segal,Jack Lemmon|James Garner|Dan Aykroyd,22294341141997,USA,21500000
1391,1996,6.3,106,Tim Burton,Jack Nicholson|Pierce Brosnan|Sarah Jessica Parker,37754208141997,USA,70000000
1392,1996,7.0,106,Alexander Payne,Laura Dern|Swoosie Kurtz|Mary Kay Place,153155101997,USA,3000000
1393,1996,7.3,139,Cameron Crowe,Tom Cruise|Cuba Gooding Jr.|Renée Zellweger,15362082241997,USA,50000000
1394,1987,7.4,94,"Joel Coen,",Nicolas Cage|Holly Hunter|Trey Wilson,22847564,USA,6000000
1395,1987,6.5,112,Barry Levinson,Richard Dreyfuss|Danny DeVito|Barbara Hershey,25411386,USA,11000000
1396,1992,7.1,126,Phil Alden Robinson,Robert Redford|Dan Aykroyd|Sidney Poitier,51433000,USA,35000000
1397,1996,7.5,98,Anjelica Huston,Jennifer Jason Leigh|Ron Eldard|Glenne Headly,0,USA,0
1398,1996,6.0,113,Richard Attenborough,Sandra Bullock|Chris O'Donnell|Mackenzie Astin,1446635471997,USA,0
1399,1996,6.7,98,Jerry Zaks,Meryl Streep|Leonardo DiCaprio|Diane Keaton,12782508181997,USA,23000000
1401,1996,6.7,130,Rob Reiner,Alec Baldwin|James Woods|Whoopi Goldberg,13052741141997,USA,36000000
1404,1996,6.6,113,Sidney Lumet,Andy Garcia|Richard Dreyfuss|Lena Olin,988128681997,USA,0
1405,1996,6.8,81,"Mike Judge,",Mike Judge|Bruce Willis|Demi Moore,63071133111997,USA,12000000
1406,1995,7.6,112,Claude Chabrol,Isabelle Huppert|Sandrine Bonnaire|Jacqueline Bisset,670659211997,France,0
1407,1996,7.2,111,Wes Craven,Neve Campbell|Courteney Cox|David Arquette,103001286181997,USA,14000000
1408,1992,7.8,112,Michael Mann,Daniel Day-Lewis|Madeleine Stowe|Russell Means,72455275,USA,40000000
1409,1996,5.7,105,Nora Ephron,John Travolta|Andie MacDowell|William Hurt,9534507091997,USA,0
1410,1996,5.8,129,Robert Harling,Shirley MacLaine|Bill Paxton|Juliette Lewis,12747242211997,USA,0
1411,1996,7.8,242,Kenneth Branagh,Kenneth Branagh|Julie Christie|Derek Jacobi,4414535111997,UK,18000000
1413,1996,7.3,111,Dan Ireland,Vincent D'Onofrio|Renée Zellweger|Ann Wedgeworth,13693331997,USA,1300000
1414,1996,6.9,104,Albert Brooks,Albert Brooks|Debbie Reynolds|Paul Collins,19119165161997,USA,0
1415,1996,7.0,117,André Téchiné,Catherine Deneuve|Daniel Auteuil|Laurence Côte,939304211997,France,0
1416,1996,6.3,135,Alan Parker,Madonna|Jonathan Pryce|Antonio Banderas,49994804251997,USA,55000000
1417,1996,6.3,144,Jane Campion,Nicole Kidman|John Malkovich|Barbara Hershey,3684143211997,UK,0
1419,1971,7.7,100,Nicolas Roeg,Jenny Agutter|David Gulpilil|Luc Roeg,0,UK,1000000
1420,1997,7.6,127,Murray Lerner,Ian Anderson|Joan Baez|Martin Barre,0,USA,0
1422,1997,6.1,107,Dwight H. Little (as Dwight Little),Wesley Snipes|Diane Lane|Daniel Benzali,2582678841997,USA,0
1423,1995,8.1,100,Ralph Ziman,Danny Keogh|Patrick Shai|Seputla Sebogodi,0,South,0
1425,1997,6.4,93,"Fred Schepisi,",John Cleese|Jamie Lee Curtis|Kevin Kline,9202671281997,UK,25000000
1427,1997,4.8,100,Robert Butler,Ray Liotta|Lauren Holly|Brendan Gleeson,11466088141997,USA,71000000
1428,1995,7.2,105,Michael Rymer,John Lynch|Jacqueline McKenzie|Colin Friels,0,Australia,0
1429,1996,6.6,107,Stanley Tong,Jackie Chan|Jackson Lou|Annie Wu,14511338211997,Hong,0
1430,1996,4.8,95,Roger Christian,Denis Leary|Joe Mantegna|Annabella Sciorra,0,USA,0
1431,1997,5.5,88,Dennis Dugan,Chris Farley|Nicollette Sheridan|Robin Shou,31235710131997,USA,0
1432,1997,5.5,117,Thomas Carter,Eddie Murphy|Michael Rapaport|Kim Miyori,31987563251997,USA,55000000
1433,1994,5.4,0,François Dupeyron,Gérard Depardieu|Nathalie Baye|Didier Bourdon,0,France,0
1437,1993,7.2,105,Andrew Birkin,Charlotte Gainsbourg|Andrew Robertson|Alice Coulthard,322975,France,0
1438,1997,5.9,108,Roger Donaldson,Pierce Brosnan|Linda Hamilton|Jamie Renée Smith,6715574261997,USA,116000000
1440,1993,5.5,96,E. Max Frye,Nicolas Cage|Samuel L. Jackson|Michael Lerner,9745803,USA,0
1441,1993,7.2,98,Jeremiah S. Chechik (as Jeremiah Chechik),Johnny Depp|Mary Stuart Masterson|Aidan Quinn,23202734,USA,0
1442,1997,6.8,106,Steve James,Jared Leto|R. Lee Ermey|Ed O'Neill,532190311997,USA,8000000
1444,1995,7.0,105,"Tomás Gutiérrez Alea,",Carlos Cruz|Mirta Ibarra|Jorge Perugorría,75147851997,Cuba,0
1445,1997,4.4,108,Bryan Spicer,Tom Arnold|Dean Stockwell|Ernest Borgnine,4368453161997,USA,31190000
1446,1996,7.8,105,Jan Sverák,Zdenek Sverák|Andrey Khalimon|Libuse Safránková,5730711111997,Czech,0
1447,1997,7.0,91,Vondie Curtis-Hall,Tupac Shakur|Tim Roth|Thandie Newton,5479037211997,USA,0
1449,1996,7.6,84,Christopher Guest,Christopher Guest|Fred Willard|Catherine O'Hara,2892582181997,USA,4000000
1450,1996,7.7,99,Sergei Bodrov (as Sergey Bodrov),Oleg Menshikov|Sergey Bodrov|Susanna Mekhraliyeva,661361281997,Russia,0
1453,1997,5.3,105,Ken Kwapis,Fran Drescher|Timothy Dalton|Ian McNeice,1145459391997,USA,16000000
1454,1996,6.8,121,Richard Linklater,Giovanni Ribisi|Steve Zahn|Jayce Bartok,482665141997,USA,0
1455,1996,6.3,95,Craig Rosenberg,Aden Young|Saffron Burrows|Simon Bossell,111106211997,Australia,0
1456,1997,5.0,84,Paul Miller,John Leguizamo|Jeffrey Jones|Freddy Rodríguez,3506206211997,USA,17000000
1457,1997,6.0,109,Andy Tennant,Matthew Perry|Salma Hayek|Jon Tenney,29291566111997,USA,0
1458,1997,5.7,96,Paul Schrader,Bridget Fonda|Christopher Walken|Skeet Ulrich,408097141997,USA,0
1459,1997,6.7,121,Clint Eastwood,Clint Eastwood|Gene Hackman|Ed Harris,50007168131997,USA,50000000
1460,1997,4.6,89,Bob Spiers,Christina Ricci|Doug E. Doug|Dean Jones,18239932201997,USA,0
1461,1997,5.9,93,Stephen Kessler,Chevy Chase|Beverly D'Angelo|Randy Quaid,36429528301997,USA,25000000
1463,1997,6.1,105,Carl Reiner,Bette Midler|Dennis Farina|Paula Marshall,16325542301997,USA,0
1464,1997,7.6,134,David Lynch,Bill Pullman|Patricia Arquette|John Roselius,3796699181997,France,15000000
1465,1997,7.2,140,John Singleton,Jon Voight|Ving Rhames|Don Cheadle,1310449421997,USA,25000000
1466,1997,7.8,127,Mike Newell,Al Pacino|Johnny Depp|Michael Madsen,41954997131997,USA,35000000
1468,1997,5.3,79,Jeff Pollack,Jamie Foxx|Tommy Davidson|Vivica A. Fox,20060051201997,USA,0
1472,1997,6.2,97,John Irvin,Harvey Keitel|Stephen Dorff|Timothy Hutton,1495332281997,USA,8000000
1473,1997,5.7,90,Tamra Davis,Dean Cain|Andy Dick|Sean Patrick Flanery,0,USA,10000000
1474,1997,5.1,105,John Pasquin,Tim Allen|Martin Short|JoBeth Williams,5992502651997,USA,32000000
1475,1996,6.0,117,Mira Nair,Naveen Andrews|Sarita Choudhury|Indira Varma,4109095271997,USA,3000000
1476,1997,6.8,109,Betty Thomas,Howard Stern|Mary McCormack|Robin Quivers,4119814661997,USA,20000000
1479,1997,6.2,116,Phillip Noyce,Val Kilmer|Elisabeth Shue|Rade Serbedzija,61355436251997,USA,68000000
1480,1997,6.4,121,Bille August,Julia Ormond|Ona Fletcher|Agga Olsen,2221994251997,Denmark,35000000
1482,1996,6.8,100,Stephen Frears,Colm Meaney|Donal O'Kelly|Ger Ryan,621093151997,UK,0
1483,1996,6.4,100,David Cronenberg,James Spader|Holly Hunter|Elias Koteas,3168660181997,Canada,9000000
1484,1996,6.9,87,Greg Mottola,Hope Davis|Stanley Tucci|Parker Posey,2084559221997,Canada,0
1485,1997,6.8,86,Tom Shadyac,Jim Carrey|Maura Tierney|Justin Cooper,181395380101997,USA,45000000
1487,1997,6.7,127,Gregory Nava,Jennifer Lopez|Edward James Olmos|Jon Seda,35422828271997,USA,20000000
1488,1997,6.1,111,Alan J. Pakula,Harrison Ford|Brad Pitt|Margaret Colin,4287716541997,USA,86000000
1489,1997,6.9,75,Mark Dindal,Scott Bakula|Jasmine Guy|Natalie Cole,3562749301997,USA,32000000
1490,1997,4.1,91,Robert Townsend,Halle Berry|Natalie Desselle Reid|Martin Landau,7240837301997,USA,0
1493,1996,6.4,76,Emma-Kate Croghan,Frances O'Connor|Alice Garner|Matt Day,212285251997,Australia,250000
1495,1997,3.5,99,"Shuki Levy,",Jason David Frank|Catherine Sutherland|Hilary Shepard,8109349161997,USA,8000000
1497,1997,4.7,93,Hark Tsui,Jean-Claude Van Damme|Dennis Rodman|Mickey Rourke,1131301041997,USA,30000000
1498,1997,6.4,110,Pat O'Connor,Liv Tyler|Jennifer Connelly|Joaquin Phoenix,5852547161997,USA,0
1499,1997,4.7,89,Luis Llosa,Jon Voight|Jennifer Lopez|Eric Stoltz,6555798951997,USA,45000000
1500,1997,7.4,107,George Armitage,John Cusack|Minnie Driver|Dan Aykroyd,2801453681997,USA,15000000
1501,1997,5.2,113,Leslie Greif,Eric Stoltz|James Spader|Deborah Kara Unger,0,USA,0
1502,1996,6.5,78,Lynne Stopkewich,Molly Parker|Peter Outerbridge|Jay Brazeau,465417161997,Canada,0
1503,1997,5.3,95,Tom Schulman,Joe Pesci|Andy Comeau|Kristy Swanson,355999021997,USA,3000000
1504,1996,7.4,0,Angela Pope,Sam Bould|Martin Donovan|Ian Hart,6281821997,UK,0
1507,1997,6.8,122,Bruce Beresford,Glenn Close|Frances McDormand|Pauline Collins,1921471301997,Australia,16000000
1508,1997,6.2,101,Jack N. Green (as Jack Green),Bill Paxton|Mark Wahlberg|Julianna Margulies,500649301997,USA,0
1513,1997,6.2,92,David Mirkin,Mira Sorvino|Lisa Kudrow|Janeane Garofalo,29205077151997,USA,0
1515,1997,5.4,104,Mick Jackson,Tommy Lee Jones|Anne Heche|Gaby Hoffmann,4747411211997,USA,90000000
1516,1996,6.3,101,Peter Duncan,Judy Davis|Sam Neill|F. Murray Abraham,83060841997,Australia,0
1517,1997,7.0,94,Jay Roach,Mike Myers|Elizabeth Hurley|Michael York,53868030261997,USA,17000000
1518,1997,6.9,93,Jonathan Mostow,Kurt Russell|J.T. Walsh|Kathleen Quinlan,50129186151997,USA,36000000
1523,1997,6.3,106,Kiefer Sutherland,Kiefer Sutherland|Kim Dickens|Vincent Gallo,5415491997,USA,0
